culture_code,otu_97,otu_985
1,OTU_001,OTU985_001
2,OTU_005,OTU985_015
3,OTU_001,OTU985_003
4,OTU_010,OTU985_011
5,OTU_004,OTU985_005
6,OTU_038,OTU985_015
7,OTU_008,OTU985_014
8,OTU_002,OTU985_002
9,OTU_016,OTU985_169
10,OTU_002,OTU985_002
11,OTU_008,OTU985_009
12,OTU_013,OTU985_016
13,OTU_002,OTU985_002
14,OTU_026,OTU985_029
15,OTU_002,OTU985_002
16,OTU_002,OTU985_002
17,OTU_020,OTU985_023
18,OTU_001,OTU985_003
19,OTU_030,OTU985_035
20,OTU_019,OTU985_022
21,OTU_013,OTU985_016
22,OTU_020,OTU985_023
23,OTU_020,OTU985_023
24,OTU_042,OTU985_048
25,OTU_010,OTU985_011
26,OTU_049,OTU985_057
27,OTU_053,OTU985_061
28,OTU_010,OTU985_011
29,OTU_060,OTU985_068
30,OTU_007,OTU985_008
32,OTU_018,OTU985_021
33,OTU_008,OTU985_014
34,OTU_001,OTU985_003
35,OTU_001,OTU985_003
36,OTU_002,OTU985_002
37,OTU_008,OTU985_014
38,OTU_016,OTU985_019
39,OTU_076,OTU985_089
40,OTU_004,OTU985_005
41,OTU_008,OTU985_009
42,OTU_038,OTU985_015
43,OTU_038,OTU985_015
44,OTU_038,OTU985_015
45,OTU_002,OTU985_002
46,OTU_038,OTU985_031
47,OTU_020,OTU985_023
48,OTU_002,OTU985_002
49,OTU_002,OTU985_002
50,OTU_002,OTU985_002
51,OTU_002,OTU985_002
52,OTU_052,OTU985_060
53,OTU_002,OTU985_002
54,OTU_008,OTU985_069
55,OTU_005,OTU985_071
58,OTU_060,OTU985_068
61,OTU_008,OTU985_014
62,OTU_008,OTU985_014
63,OTU_001,OTU985_003
64,OTU_001,OTU985_003
65,OTU_001,OTU985_003
66,OTU_038,OTU985_031
67,OTU_038,OTU985_031
68,OTU_020,OTU985_023
69,OTU_008,OTU985_014
70,OTU_076,OTU985_089
71,OTU_008,OTU985_009
72,OTU_008,OTU985_014
73,OTU_008,OTU985_009
74,OTU_004,OTU985_005
75,OTU_038,OTU985_015
76,OTU_038,OTU985_031
77,OTU_026,OTU985_167
78,OTU_001,OTU985_003
79,OTU_010,OTU985_011
80,OTU_067,OTU985_077
81,OTU_009,OTU985_010
82,OTU_008,OTU985_014
83,OTU_019,OTU985_022
84,OTU_038,OTU985_015
85,OTU_038,OTU985_015
86,OTU_016,OTU985_168
88,OTU_001,OTU985_003
89,OTU_004,OTU985_005
90,OTU_001,OTU985_003
91,OTU_008,OTU985_009
92,OTU_016,OTU985_034
93,OTU_008,OTU985_009
94,OTU_002,OTU985_002
95,OTU_001,OTU985_003
96,OTU_001,OTU985_170
97,OTU_001,OTU985_170
98,OTU_001,OTU985_001
99,OTU_076,OTU985_089
100,OTU_002,OTU985_002
101,OTU_001,OTU985_003
102,OTU_003,OTU985_004
103,OTU_001,OTU985_003
104,OTU_004,OTU985_005
105,OTU_004,OTU985_005
106,OTU_005,OTU985_006
107,OTU_002,OTU985_002
108,OTU_006,OTU985_007
109,OTU_007,OTU985_008
110,OTU_009,OTU985_010
111,OTU_010,OTU985_011
112,OTU_011,OTU985_012
113,OTU_002,OTU985_002
114,OTU_012,OTU985_013
115,OTU_001,OTU985_003
116,OTU_001,OTU985_003
117,OTU_001,OTU985_003
118,OTU_008,OTU985_014
119,OTU_005,OTU985_015
120,OTU_002,OTU985_002
121,OTU_008,OTU985_014
122,OTU_005,OTU985_015
123,OTU_014,OTU985_017
124,OTU_008,OTU985_009
125,OTU_015,OTU985_018
126,OTU_005,OTU985_015
127,OTU_016,OTU985_019
128,OTU_017,OTU985_020
129,OTU_005,OTU985_015
130,OTU_018,OTU985_021
131,OTU_001,OTU985_003
132,OTU_013,OTU985_016
133,OTU_019,OTU985_022
134,OTU_020,OTU985_023
135,OTU_021,OTU985_024
136,OTU_022,OTU985_025
137,OTU_023,OTU985_026
138,OTU_024,OTU985_027
139,OTU_025,OTU985_028
140,OTU_001,OTU985_001
141,OTU_003,OTU985_004
142,OTU_002,OTU985_002
143,OTU_004,OTU985_005
144,OTU_008,OTU985_009
145,OTU_001,OTU985_003
146,OTU_001,OTU985_003
147,OTU_002,OTU985_002
148,OTU_002,OTU985_002
149,OTU_004,OTU985_005
150,OTU_027,OTU985_030
151,OTU_005,OTU985_015
152,OTU_004,OTU985_005
153,OTU_005,OTU985_006
154,OTU_008,OTU985_014
155,OTU_005,OTU985_031
156,OTU_005,OTU985_031
157,OTU_005,OTU985_015
158,OTU_001,OTU985_003
159,OTU_008,OTU985_014
160,OTU_028,OTU985_032
161,OTU_005,OTU985_015
162,OTU_029,OTU985_033
163,OTU_002,OTU985_002
164,OTU_005,OTU985_015
165,OTU_002,OTU985_002
166,OTU_008,OTU985_014
167,OTU_005,OTU985_015
168,OTU_002,OTU985_002
169,OTU_002,OTU985_002
170,OTU_027,OTU985_030
171,OTU_027,OTU985_030
172,OTU_016,OTU985_034
173,OTU_016,OTU985_034
174,OTU_008,OTU985_009
175,OTU_005,OTU985_015
176,OTU_004,OTU985_005
177,OTU_002,OTU985_002
178,OTU_002,OTU985_002
179,OTU_005,OTU985_015
180,OTU_005,OTU985_031
181,OTU_008,OTU985_009
182,OTU_005,OTU985_031
183,OTU_001,OTU985_003
184,OTU_008,OTU985_009
185,OTU_005,OTU985_015
186,OTU_001,OTU985_003
187,OTU_015,OTU985_018
188,OTU_005,OTU985_015
189,OTU_001,OTU985_003
190,OTU_016,OTU985_019
191,OTU_031,OTU985_036
192,OTU_032,OTU985_037
194,OTU_005,OTU985_031
195,OTU_002,OTU985_002
196,OTU_005,OTU985_015
197,OTU_033,OTU985_038
198,OTU_034,OTU985_039
199,OTU_035,OTU985_040
201,OTU_002,OTU985_002
202,OTU_002,OTU985_002
203,OTU_036,OTU985_041
204,OTU_004,OTU985_005
205,OTU_004,OTU985_005
206,OTU_016,OTU985_019
207,OTU_002,OTU985_002
208,OTU_001,OTU985_003
209,OTU_004,OTU985_005
210,OTU_016,OTU985_042
211,OTU_001,OTU985_003
212,OTU_008,OTU985_009
213,OTU_005,OTU985_015
214,OTU_002,OTU985_002
215,OTU_002,OTU985_002
216,OTU_005,OTU985_015
