"taxonomic_level","substrate","richness_S","abundance_N","shannon_H","simpson_1mD","inv_simpson","pielou_J"
"its_taxon","Lauraceae leaves",106,219,4.2745,0.9779,45.289,0.9166
"its_taxon","Ficus leaves",135,264,4.4705,0.9791,47.8681,0.9114
"its_taxon","Ficus wood",81,167,4.0073,0.9722,35.9858,0.9119
"phylum","Lauraceae leaves",1,219,0,0,1,NA
"phylum","Ficus leaves",2,264,0.0249,0.0075,1.0076,0.0359
"phylum","Ficus wood",5,167,0.3816,0.1578,1.1874,0.2371
"subphylum","Lauraceae leaves",1,219,0,0,1,NA
"subphylum","Ficus leaves",2,264,0.0249,0.0075,1.0076,0.0359
"subphylum","Ficus wood",6,167,0.4455,0.1795,1.2188,0.2486
"superclass","Lauraceae leaves",4,219,0.0874,0.0271,1.0279,0.0631
"superclass","Ficus leaves",4,264,0.4993,0.2814,1.3915,0.3602
"superclass","Ficus wood",8,167,1.3617,0.6837,3.1617,0.6548
"class","Lauraceae leaves",5,219,0.1165,0.0361,1.0375,0.0724
"class","Ficus leaves",5,264,0.6168,0.3242,1.4796,0.3832
"class","Ficus wood",12,167,1.5182,0.707,3.4132,0.611
"subclass","Lauraceae leaves",7,219,0.9943,0.5748,2.3521,0.5109
"subclass","Ficus leaves",10,264,1.6737,0.7734,4.4128,0.7269
"subclass","Ficus wood",18,167,2.0591,0.8048,5.1238,0.7124
"order","Lauraceae leaves",9,219,1.2963,0.6573,2.9182,0.59
"order","Ficus leaves",17,264,1.9959,0.827,5.7801,0.7045
"order","Ficus wood",26,167,2.2902,0.8178,5.4889,0.7029
"family","Lauraceae leaves",13,219,1.664,0.7137,3.4934,0.6487
"family","Ficus leaves",21,264,2.3295,0.8667,7.5039,0.7652
"family","Ficus wood",39,167,2.634,0.8362,6.104,0.719
"genus","Lauraceae leaves",19,219,1.7576,0.7162,3.5232,0.5969
"genus","Ficus leaves",28,264,2.6053,0.8895,9.0538,0.7819
"genus","Ficus wood",46,167,3.0202,0.9086,10.9412,0.7888
"species","Lauraceae leaves",104,219,4.2351,0.9768,43.1692,0.9119
"species","Ficus leaves",133,264,4.4385,0.9783,46.0952,0.9076
"species","Ficus wood",81,167,4.0073,0.9722,35.9858,0.9119
