"sample_id","substrate","zone","position","n_isolates","richness_S","shannon_H","simpson_1mD","pielou_J","hill_q0","hill_q1","hill_q2"
"Ficus leaves__Z6__S1","Ficus leaves",6,"Branch",29,19,2.8351,0.9346,0.9629,19,17.033,15.291
"Ficus leaves__Z6__S10","Ficus leaves",6,"Branch",26,17,2.6619,0.9142,0.9395,17,14.323,11.655
"Ficus leaves__Z6__S2","Ficus leaves",6,"Branch",28,14,2.432,0.8954,0.9215,14,11.382,9.561
"Ficus leaves__Z6__S3","Ficus leaves",6,"Branch",30,17,2.636,0.9133,0.9304,17,13.957,11.538
"Ficus leaves__Z6__S4","Ficus leaves",6,"Branch",24,12,2.2103,0.8611,0.8895,12,9.118,7.2
"Ficus leaves__Z6__S5","Ficus leaves",6,"Branch",30,17,2.5694,0.8911,0.9069,17,13.058,9.184
"Ficus leaves__Z6__S6","Ficus leaves",6,"Branch",27,19,2.8463,0.9355,0.9667,19,17.224,15.511
"Ficus leaves__Z6__S7","Ficus leaves",6,"Branch",26,16,2.5552,0.9024,0.9216,16,12.874,10.242
"Ficus leaves__Z6__S8","Ficus leaves",6,"Branch",21,13,2.4255,0.898,0.9456,13,11.308,9.8
"Ficus leaves__Z6__S9","Ficus leaves",6,"Branch",23,17,2.7739,0.9338,0.979,17,16.02,15.114
"Ficus wood__Z1__S15","Ficus wood",1,"Trunk",11,6,1.7202,0.8099,0.9601,6,5.586,5.261
"Ficus wood__Z2__S14","Ficus wood",2,"Trunk",26,10,1.867,0.787,0.8108,10,6.469,4.694
"Ficus wood__Z3__S13","Ficus wood",3,"Trunk",15,7,1.3897,0.6133,0.7142,7,4.014,2.586
"Ficus wood__Z4__S10","Ficus wood",4,"Trunk",3,3,1.0986,0.6667,1,3,3,3
"Ficus wood__Z4__S12","Ficus wood",4,"Trunk",9,4,1.273,0.6914,0.9183,4,3.572,3.24
"Ficus wood__Z5__S11","Ficus wood",5,"Trunk",18,9,1.6112,0.6667,0.7333,9,5.009,3
"Ficus wood__Z6__S1","Ficus wood",6,"Branch",17,12,2.3439,0.8858,0.9433,12,10.422,8.758
"Ficus wood__Z6__S2","Ficus wood",6,"Branch",15,12,2.3959,0.8978,0.9642,12,10.978,9.783
"Ficus wood__Z6__S3","Ficus wood",6,"Branch",11,9,2.0983,0.8595,0.955,9,8.152,7.118
"Ficus wood__Z6__S5","Ficus wood",6,"Branch",16,13,2.48,0.9062,0.9669,13,11.941,10.667
"Ficus wood__Z6__S6","Ficus wood",6,"Branch",6,6,1.7918,0.8333,1,6,6,6
"Ficus wood__Z6__S7","Ficus wood",6,"Branch",4,2,0.5623,0.375,0.8113,2,1.755,1.6
"Ficus wood__Z6__S8","Ficus wood",6,"Branch",16,8,1.7153,0.75,0.8249,8,5.558,4
"Lauraceae leaves__Z5__S4","Lauraceae leaves",5,"Branch",1,1,0,0,NA,1,1,1
"Lauraceae leaves__Z5__S7","Lauraceae leaves",5,"Branch",28,13,2.2672,0.8622,0.8839,13,9.653,7.259
"Lauraceae leaves__Z5__S8","Lauraceae leaves",5,"Branch",24,7,1.7264,0.7882,0.8872,7,5.62,4.721
"Lauraceae leaves__Z6__S1","Lauraceae leaves",6,"Branch",30,18,2.711,0.92,0.9379,18,15.044,12.5
"Lauraceae leaves__Z6__S2","Lauraceae leaves",6,"Branch",25,12,2.175,0.8512,0.8753,12,8.802,6.72
"Lauraceae leaves__Z6__S3","Lauraceae leaves",6,"Branch",26,12,2.1074,0.8373,0.8481,12,8.227,6.145
"Lauraceae leaves__Z6__S4","Lauraceae leaves",6,"Branch",26,13,2.2249,0.8491,0.8674,13,9.253,6.627
"Lauraceae leaves__Z6__S5","Lauraceae leaves",6,"Branch",26,17,2.6086,0.9053,0.9207,17,13.579,10.562
"Lauraceae leaves__Z6__S6","Lauraceae leaves",6,"Branch",30,9,1.9419,0.8289,0.8838,9,6.972,5.844
"Lauraceae leaves__Z6__S8","Lauraceae leaves",6,"Branch",3,3,1.0986,0.6667,1,3,3,3
