"s.E","s.N","s.S","s.W","index","stat","p.value","taxon","q.value"
0,0,1,0,3,1,0.083,"OTU_002",0.988444444444444
0,0,1,0,3,1,0.083,"OTU_079",0.988444444444444
0,1,1,0,8,0.939336436627724,0.088,"OTU_005",0.988444444444444
1,0,0,0,1,0.904534033733291,0.097,"OTU_048",0.988444444444444
0,0,0,1,4,0.816496580927726,0.164,"OTU_051",0.988444444444444
1,0,1,0,6,0.866025403784439,0.235,"OTU_013",0.988444444444444
0,0,1,0,3,0.866025403784439,0.262,"OTU_041",0.988444444444444
0,1,0,0,2,0.866025403784439,0.265,"OTU_043",0.988444444444444
1,0,1,0,6,0.866025403784439,0.271,"OTU_069",0.988444444444444
0,1,1,0,8,0.908295106229247,0.312,"OTU_001",0.988444444444444
1,1,1,0,11,0.877058019307029,0.381,"OTU_020",0.988444444444444
1,1,1,0,11,0.82572282384477,0.482,"OTU_052",0.988444444444444
1,0,1,0,6,0.707106781186548,0.513,"OTU_072",0.988444444444444
0,1,1,0,8,0.707106781186548,0.516,"OTU_037",0.988444444444444
1,1,0,0,5,0.707106781186548,0.518,"OTU_064",0.988444444444444
0,1,1,0,8,0.707106781186548,0.538,"OTU_009",0.988444444444444
0,1,0,0,2,0.707106781186548,0.669,"OTU_004",0.988444444444444
0,1,0,0,2,0.707106781186548,0.669,"OTU_066",0.988444444444444
0,1,0,0,2,0.707106781186548,0.669,"OTU_067",0.988444444444444
0,1,0,0,2,0.707106781186548,0.669,"OTU_068",0.988444444444444
1,0,0,0,1,0.707106781186548,0.67,"OTU_014",0.988444444444444
1,0,0,0,1,0.707106781186548,0.67,"OTU_023",0.988444444444444
1,0,0,0,1,0.707106781186548,0.67,"OTU_026",0.988444444444444
1,0,0,0,1,0.707106781186548,0.67,"OTU_070",0.988444444444444
1,0,0,0,1,0.707106781186548,0.67,"OTU_071",0.988444444444444
1,0,0,0,1,0.707106781186548,0.67,"OTU_073",0.988444444444444
1,0,0,0,1,0.707106781186548,0.67,"OTU_074",0.988444444444444
1,0,0,0,1,0.707106781186548,0.677,"OTU_011",0.988444444444444
1,0,0,0,1,0.707106781186548,0.677,"OTU_083",0.988444444444444
1,0,0,0,1,0.707106781186548,0.677,"OTU_084",0.988444444444444
1,0,0,0,1,0.707106781186548,0.677,"OTU_085",0.988444444444444
1,0,0,0,1,0.707106781186548,0.677,"OTU_086",0.988444444444444
1,0,0,0,1,0.707106781186548,0.677,"OTU_087",0.988444444444444
0,1,0,0,2,0.707106781186548,0.679,"OTU_061",0.988444444444444
0,1,0,0,2,0.707106781186548,0.679,"OTU_062",0.988444444444444
0,1,0,0,2,0.707106781186548,0.679,"OTU_063",0.988444444444444
0,1,0,0,2,0.707106781186548,0.679,"OTU_065",0.988444444444444
0,0,1,0,3,0.707106781186548,0.684,"OTU_003",0.988444444444444
0,0,1,0,3,0.707106781186548,0.684,"OTU_076",0.988444444444444
0,0,1,0,3,0.707106781186548,0.684,"OTU_080",0.988444444444444
0,0,1,0,3,0.707106781186548,0.684,"OTU_081",0.988444444444444
0,0,1,0,3,0.707106781186548,0.684,"OTU_082",0.988444444444444
0,0,1,0,3,0.707106781186548,0.695,"OTU_075",0.988444444444444
0,0,1,0,3,0.707106781186548,0.695,"OTU_077",0.988444444444444
0,0,1,0,3,0.707106781186548,0.695,"OTU_078",0.988444444444444
0,0,0,1,4,0.577350269189626,1,"OTU_006",1
0,0,1,1,10,0.632455532033676,1,"OTU_007",1
0,0,0,1,4,0.577350269189626,1,"OTU_010",1
0,0,0,1,4,0.577350269189626,1,"OTU_016",1
1,1,0,1,12,0.654653670707977,1,"OTU_027",1
0,0,0,1,4,0.577350269189626,1,"OTU_029",1
0,0,1,1,10,0.632455532033676,1,"OTU_039",1
0,0,0,1,4,0.577350269189626,1,"OTU_040",1
0,1,0,1,9,0.632455532033676,1,"OTU_044",1
0,0,0,1,4,0.577350269189626,1,"OTU_046",1
0,0,0,1,4,0.577350269189626,1,"OTU_047",1
0,0,0,1,4,0.577350269189626,1,"OTU_031",1
0,0,0,1,4,0.577350269189626,1,"OTU_050",1
0,0,0,1,4,0.577350269189626,1,"OTU_054",1
0,0,0,1,4,0.577350269189626,1,"OTU_055",1
0,0,0,1,4,0.577350269189626,1,"OTU_056",1
0,0,0,1,4,0.577350269189626,1,"OTU_057",1
0,0,0,1,4,0.577350269189626,1,"OTU_058",1
0,0,0,1,4,0.577350269189626,1,"OTU_059",1
1,1,1,1,15,1,NA,"OTU_008",NA
1,1,1,1,15,0.881917103688197,NA,"OTU_038",NA
1,1,1,1,15,0.881917103688197,NA,"OTU_045",NA
