"s.E","s.N","s.S","s.W","index","stat","p.value","taxon","q.value"
0,1,0,0,2,1,0.143,"OTU_104",1
0,1,0,0,2,1,0.143,"OTU_108",1
0,1,0,0,2,1,0.143,"OTU_109",1
0,1,1,0,8,0.816496580927726,0.412,"OTU_106",1
0,1,0,0,2,0.816496580927726,0.414,"OTU_103",1
1,0,0,1,7,0.866025403784439,0.421,"OTU_031",1
0,1,0,1,9,0.816496580927726,0.442,"OTU_099",1
0,1,0,0,2,0.816496580927726,0.447,"OTU_105",1
1,1,0,1,12,0.894427190999916,0.451,"OTU_080",1
1,1,0,1,12,0.774596669241483,0.791,"OTU_107",1
0,0,0,1,4,0.707106781186548,1,"OTU_006",1
1,0,0,0,1,0.707106781186548,1,"OTU_007",1
0,0,1,0,3,0.707106781186548,1,"OTU_008",1
0,0,0,1,4,0.707106781186548,1,"OTU_038",1
0,0,1,0,3,0.707106781186548,1,"OTU_052",1
1,0,0,0,1,0.707106781186548,1,"OTU_058",1
0,0,1,0,3,0.707106781186548,1,"OTU_004",1
1,0,0,0,1,0.707106781186548,1,"OTU_037",1
0,0,0,1,4,0.707106781186548,1,"OTU_002",1
0,0,0,1,4,0.707106781186548,1,"OTU_082",1
0,0,0,1,4,0.707106781186548,1,"OTU_083",1
0,0,0,1,4,0.707106781186548,1,"OTU_094",1
0,0,1,1,10,0.707106781186548,1,"OTU_095",1
0,0,0,1,4,0.707106781186548,1,"OTU_096",1
0,0,0,1,4,0.707106781186548,1,"OTU_097",1
0,0,0,1,4,0.707106781186548,1,"OTU_098",1
1,0,0,1,7,0.707106781186548,1,"OTU_021",1
0,0,0,1,4,0.707106781186548,1,"OTU_100",1
0,0,0,1,4,0.707106781186548,1,"OTU_101",1
0,0,0,1,4,0.707106781186548,1,"OTU_102",1
0,0,0,1,4,0.707106781186548,1,"OTU_110",1
0,0,0,1,4,0.707106781186548,1,"OTU_111",1
0,0,0,1,4,0.707106781186548,1,"OTU_112",1
0,0,0,1,4,0.707106781186548,1,"OTU_113",1
0,0,0,1,4,0.707106781186548,1,"OTU_119",1
1,0,0,0,1,0.707106781186548,1,"OTU_114",1
1,0,1,0,6,0.707106781186548,1,"OTU_115",1
1,0,0,0,1,0.707106781186548,1,"OTU_116",1
1,0,0,0,1,0.707106781186548,1,"OTU_117",1
1,0,0,0,1,0.707106781186548,1,"OTU_118",1
0,0,1,0,3,0.707106781186548,1,"OTU_120",1
0,0,1,0,3,0.707106781186548,1,"OTU_121",1
1,0,0,0,1,0.707106781186548,1,"OTU_122",1
1,0,0,0,1,0.707106781186548,1,"OTU_123",1
1,0,0,0,1,0.707106781186548,1,"OTU_124",1
1,0,0,0,1,0.707106781186548,1,"OTU_125",1
1,0,0,0,1,0.707106781186548,1,"OTU_126",1
1,0,0,0,1,0.707106781186548,1,"OTU_127",1
