"s.Branch","s.Trunk","index","stat","p.value","taxon","q.value"
0,1,2,0.888631088282754,0.028,"OTU_103",1
0,1,2,0.805076485899413,0.08,"OTU_106",1
0,1,2,0.770674635588453,0.084,"OTU_082",1
1,0,1,0.71123470172424,0.167,"OTU_080",1
0,1,2,0.577350269189626,0.187,"OTU_137",1
0,1,2,0.577350269189626,0.194,"OTU_134",1
0,1,2,0.408248290463863,0.433,"OTU_138",1
0,1,2,0.408248290463863,0.433,"OTU_139",1
0,1,2,0.408248290463863,0.433,"OTU_140",1
1,0,1,0.534522483824849,0.439,"OTU_115",1
0,1,2,0.408248290463863,0.44,"OTU_131",1
0,1,2,0.408248290463863,0.44,"OTU_133",1
1,0,1,0.534522483824849,0.451,"OTU_099",1
1,0,1,0.534522483824849,0.452,"OTU_021",1
0,1,2,0.408248290463863,0.455,"OTU_135",1
0,1,2,0.408248290463863,0.455,"OTU_136",1
0,1,2,0.408248290463863,0.459,"OTU_128",1
0,1,2,0.408248290463863,0.459,"OTU_129",1
0,1,2,0.408248290463863,0.459,"OTU_130",1
1,0,1,0.534522483824849,0.462,"OTU_095",1
0,1,2,0.408248290463863,0.468,"OTU_141",1
0,1,2,0.408248290463863,0.468,"OTU_142",1
0,1,2,0.408248290463863,0.49,"OTU_034",1
0,1,2,0.408248290463863,0.49,"OTU_132",1
1,0,1,0.555492059863531,0.565,"OTU_031",1
1,0,1,0.377964473009227,1,"OTU_006",1
1,0,1,0.377964473009227,1,"OTU_007",1
1,0,1,0.377964473009227,1,"OTU_008",1
1,0,1,0.377964473009227,1,"OTU_038",1
1,0,1,0.377964473009227,1,"OTU_004",1
1,0,1,0.377964473009227,1,"OTU_052",1
1,0,1,0.377964473009227,1,"OTU_058",1
1,0,1,0.377964473009227,1,"OTU_037",1
1,0,1,0.377964473009227,1,"OTU_002",1
1,0,1,0.377964473009227,1,"OTU_083",1
1,0,1,0.377964473009227,1,"OTU_094",1
1,0,1,0.377964473009227,1,"OTU_096",1
1,0,1,0.377964473009227,1,"OTU_097",1
1,0,1,0.377964473009227,1,"OTU_098",1
1,0,1,0.377964473009227,1,"OTU_100",1
1,0,1,0.377964473009227,1,"OTU_101",1
1,0,1,0.377964473009227,1,"OTU_102",1
1,0,1,0.377964473009227,1,"OTU_110",1
1,0,1,0.377964473009227,1,"OTU_111",1
1,0,1,0.377964473009227,1,"OTU_112",1
1,0,1,0.377964473009227,1,"OTU_113",1
1,0,1,0.377964473009227,1,"OTU_119",1
1,0,1,0.377964473009227,1,"OTU_104",1
1,0,1,0.377964473009227,1,"OTU_108",1
1,0,1,0.377964473009227,1,"OTU_109",1
1,0,1,0.377964473009227,1,"OTU_114",1
1,0,1,0.377964473009227,1,"OTU_116",1
1,0,1,0.377964473009227,1,"OTU_117",1
1,0,1,0.377964473009227,1,"OTU_118",1
1,0,1,0.377964473009227,1,"OTU_121",1
1,0,1,0.377964473009227,1,"OTU_122",1
1,0,1,0.377964473009227,1,"OTU_123",1
1,0,1,0.377964473009227,1,"OTU_125",1
1,0,1,0.377964473009227,1,"OTU_126",1
1,0,1,0.377964473009227,1,"OTU_127",1
1,1,3,0.620173672946042,NA,"OTU_107",NA
1,1,3,0.392232270276368,NA,"OTU_120",NA
1,1,3,0.392232270276368,NA,"OTU_124",NA
1,1,3,0.480384461415261,NA,"OTU_105",NA
