"s.Ficus leaves","s.Ficus wood","s.Lauraceae leaves","index","stat","p.value","taxon","q.value"
1,0,1,5,0.866025403784439,0.001,"OTU_001",0.017625
0,0,1,3,0.80903983495589,0.001,"OTU_005",0.017625
1,0,1,5,0.94211793682986,0.001,"OTU_008",0.017625
0,0,1,3,0.759256602365297,0.001,"OTU_016",0.017625
1,0,0,1,0.894427190999916,0.001,"OTU_045",0.017625
1,0,0,1,0.792824967172092,0.001,"OTU_020",0.017625
1,0,0,1,0.84873218411129,0.001,"OTU_052",0.017625
0,0,1,3,0.797325869964202,0.001,"OTU_002",0.017625
0,0,1,3,0.787517292659997,0.003,"OTU_004",0.0384545454545455
0,1,0,2,0.733799385705343,0.003,"OTU_103",0.0384545454545455
0,1,0,2,0.733799385705343,0.003,"OTU_106",0.0384545454545455
1,0,1,5,0.765723562411325,0.004,"OTU_038",0.0402857142857143
1,0,0,1,0.707106781186548,0.004,"OTU_043",0.0402857142857143
0,1,0,2,0.620173672946042,0.004,"OTU_107",0.0402857142857143
