"s.E","s.N","s.NW","index","stat","p.value","taxon","q.value"
1,1,0,4,0.939336436627724,0.068,"OTU_005",0.8625
1,0,0,1,1,0.094,"OTU_037",0.8625
0,1,0,2,0.707106781186548,0.294,"OTU_015",0.8625
0,1,0,2,0.707106781186548,0.295,"OTU_018",0.8625
0,1,0,2,0.707106781186548,0.297,"OTU_027",0.8625
0,1,1,6,0.894427190999916,0.347,"OTU_001",0.8625
0,1,1,6,0.894427190999916,0.358,"OTU_008",0.8625
0,1,1,6,0.894427190999916,0.361,"OTU_004",0.8625
0,0,1,3,0.707106781186548,0.431,"OTU_010",0.8625
0,1,0,2,0.5,0.436,"OTU_029",0.8625
0,1,0,2,0.5,0.436,"OTU_028",0.8625
0,1,0,2,0.5,0.449,"OTU_014",0.8625
0,1,0,2,0.5,0.449,"OTU_023",0.8625
0,1,0,2,0.5,0.449,"OTU_021",0.8625
0,1,0,2,0.5,0.449,"OTU_017",0.8625
0,1,0,2,0.5,0.449,"OTU_022",0.8625
0,1,0,2,0.5,0.449,"OTU_024",0.8625
0,1,0,2,0.5,0.449,"OTU_025",0.8625
0,1,0,2,0.5,0.46,"OTU_031",0.8625
0,1,0,2,0.5,0.46,"OTU_052",0.8625
0,1,0,2,0.5,0.46,"OTU_032",0.8625
0,1,0,2,0.5,0.46,"OTU_033",0.8625
0,1,0,2,0.5,0.46,"OTU_034",0.8625
0,1,0,2,0.5,0.46,"OTU_035",0.8625
0,1,1,6,0.836660026534076,0.483,"OTU_002",0.8694
0,0,1,3,0.577350269189626,0.564,"OTU_009",0.907758620689655
0,0,1,3,0.577350269189626,0.569,"OTU_007",0.907758620689655
0,1,1,6,0.836660026534076,0.579,"OTU_016",0.907758620689655
0,0,1,3,0.577350269189626,0.585,"OTU_026",0.907758620689655
0,0,1,3,0.408248290463863,1,"OTU_006",1
0,1,1,6,0.547722557505166,1,"OTU_038",1
0,1,1,6,0.632455532033676,1,"OTU_020",1
0,0,1,3,0.408248290463863,1,"OTU_067",1
0,1,1,6,0.447213595499958,1,"OTU_013",1
0,1,1,6,0.447213595499958,1,"OTU_003",1
0,1,1,6,0.547722557505166,1,"OTU_076",1
0,0,1,3,0.408248290463863,1,"OTU_011",1
0,0,1,3,0.408248290463863,1,"OTU_036",1
0,1,1,6,0.547722557505166,1,"OTU_019",1
0,0,1,3,0.408248290463863,1,"OTU_030",1
0,0,1,3,0.408248290463863,1,"OTU_042",1
0,0,1,3,0.408248290463863,1,"OTU_049",1
0,0,1,3,0.408248290463863,1,"OTU_053",1
0,1,1,6,0.447213595499958,1,"OTU_060",1
0,0,1,3,0.408248290463863,1,"OTU_012",1
