"s.E","s.N","s.NW","s.S","s.W","index","stat","p.value","taxon","q.value"
0,1,1,0,0,10,0.78828190879268,0.016,"OTU_004",0.836090909090909
0,0,0,1,0,4,0.707106781186548,0.016,"OTU_079",0.836090909090909
0,1,1,1,0,22,0.804314827677978,0.039,"OTU_001",0.836090909090909
0,0,1,0,0,3,0.635000635000952,0.058,"OTU_010",0.836090909090909
0,0,0,1,0,4,0.597614304667197,0.068,"OTU_041",0.836090909090909
0,0,0,0,1,5,0.632455532033676,0.068,"OTU_051",0.836090909090909
0,0,0,1,0,4,0.597614304667197,0.068,"OTU_069",0.836090909090909
0,1,1,1,0,22,0.773264070185754,0.101,"OTU_005",0.836090909090909
0,0,0,1,0,4,0.5,0.138,"OTU_081",0.836090909090909
0,1,1,1,0,22,0.704147503813196,0.139,"OTU_002",0.836090909090909
0,0,0,1,0,4,0.5,0.141,"OTU_120",0.836090909090909
0,0,0,1,0,4,0.5,0.141,"OTU_121",0.836090909090909
0,0,0,1,0,4,0.5,0.142,"OTU_075",0.836090909090909
0,0,0,1,0,4,0.5,0.142,"OTU_077",0.836090909090909
0,0,0,1,0,4,0.5,0.142,"OTU_078",0.836090909090909
0,1,1,0,0,10,0.675332496378002,0.143,"OTU_016",0.836090909090909
1,0,0,0,1,9,0.582575265003535,0.163,"OTU_031",0.836090909090909
0,1,0,0,0,2,0.534522483824849,0.165,"OTU_015",0.836090909090909
0,1,0,0,0,2,0.534522483824849,0.176,"OTU_018",0.836090909090909
1,0,0,0,1,9,0.547722557505166,0.211,"OTU_048",0.836090909090909
0,0,0,0,1,5,0.531368931324057,0.268,"OTU_006",0.836090909090909
0,0,0,1,1,15,0.471404520791032,0.269,"OTU_082",0.836090909090909
0,0,0,1,1,15,0.471404520791032,0.27,"OTU_039",0.836090909090909
1,0,0,1,0,8,0.471404520791032,0.3,"OTU_115",0.836090909090909
0,0,0,1,1,15,0.471404520791032,0.305,"OTU_095",0.836090909090909
1,0,0,1,0,8,0.522755462212757,0.306,"OTU_037",0.836090909090909
1,0,0,1,0,8,0.471404520791032,0.312,"OTU_072",0.836090909090909
1,0,1,0,0,7,0.522232967867094,0.329,"OTU_026",0.836090909090909
0,0,0,1,0,4,0.458257569495584,0.365,"OTU_106",0.836090909090909
1,1,0,1,1,28,0.617213399848368,0.366,"OTU_052",0.836090909090909
0,1,0,0,1,12,0.5,0.403,"OTU_043",0.836090909090909
1,1,0,0,1,18,0.54232614454664,0.426,"OTU_027",0.836090909090909
0,0,1,0,0,3,0.483045891539648,0.433,"OTU_019",0.836090909090909
1,0,0,0,1,9,0.447213595499958,0.437,"OTU_058",0.836090909090909
1,0,0,0,1,9,0.447213595499958,0.442,"OTU_083",0.836090909090909
1,1,0,1,1,28,0.577350269189626,0.463,"OTU_045",0.836090909090909
1,0,0,0,0,1,0.447213595499958,0.502,"OTU_122",0.836090909090909
1,0,0,0,0,1,0.447213595499958,0.502,"OTU_123",0.836090909090909
1,0,0,0,0,1,0.447213595499958,0.502,"OTU_124",0.836090909090909
1,0,0,0,0,1,0.447213595499958,0.502,"OTU_125",0.836090909090909
1,0,0,0,0,1,0.447213595499958,0.502,"OTU_126",0.836090909090909
1,0,0,0,0,1,0.447213595499958,0.502,"OTU_127",0.836090909090909
0,0,0,0,1,5,0.447213595499958,0.506,"OTU_094",0.836090909090909
0,0,0,0,1,5,0.447213595499958,0.506,"OTU_096",0.836090909090909
0,0,0,0,1,5,0.447213595499958,0.506,"OTU_097",0.836090909090909
0,0,0,0,1,5,0.447213595499958,0.506,"OTU_098",0.836090909090909
1,0,0,0,0,1,0.447213595499958,0.512,"OTU_070",0.836090909090909
1,0,0,0,0,1,0.447213595499958,0.512,"OTU_071",0.836090909090909
1,0,0,0,0,1,0.447213595499958,0.512,"OTU_073",0.836090909090909
1,0,0,0,0,1,0.447213595499958,0.512,"OTU_074",0.836090909090909
0,0,0,0,1,5,0.447213595499958,0.512,"OTU_100",0.836090909090909
0,0,0,0,1,5,0.447213595499958,0.512,"OTU_101",0.836090909090909
0,0,0,0,1,5,0.447213595499958,0.512,"OTU_102",0.836090909090909
0,0,0,0,1,5,0.447213595499958,0.512,"OTU_110",0.836090909090909
0,0,0,0,1,5,0.447213595499958,0.512,"OTU_111",0.836090909090909
0,0,0,0,1,5,0.447213595499958,0.512,"OTU_112",0.836090909090909
0,0,0,0,1,5,0.447213595499958,0.512,"OTU_113",0.836090909090909
0,0,0,0,1,5,0.447213595499958,0.512,"OTU_119",0.836090909090909
1,0,0,0,0,1,0.447213595499958,0.515,"OTU_084",0.836090909090909
1,0,0,0,0,1,0.447213595499958,0.515,"OTU_085",0.836090909090909
1,0,0,0,0,1,0.447213595499958,0.515,"OTU_086",0.836090909090909
1,0,0,0,0,1,0.447213595499958,0.515,"OTU_087",0.836090909090909
0,0,1,1,0,13,0.490900811322794,0.523,"OTU_076",0.836090909090909
0,0,0,0,1,5,0.447213595499958,0.526,"OTU_040",0.836090909090909
0,0,0,0,1,5,0.447213595499958,0.526,"OTU_046",0.836090909090909
0,0,0,0,1,5,0.447213595499958,0.526,"OTU_047",0.836090909090909
1,0,0,0,0,1,0.447213595499958,0.533,"OTU_114",0.836090909090909
1,0,0,0,0,1,0.447213595499958,0.533,"OTU_116",0.836090909090909
1,0,0,0,0,1,0.447213595499958,0.533,"OTU_117",0.836090909090909
1,0,0,0,0,1,0.447213595499958,0.533,"OTU_118",0.836090909090909
0,0,0,0,1,5,0.447213595499958,0.537,"OTU_050",0.836090909090909
0,0,0,0,1,5,0.447213595499958,0.537,"OTU_054",0.836090909090909
0,0,0,0,1,5,0.447213595499958,0.537,"OTU_055",0.836090909090909
0,0,0,0,1,5,0.447213595499958,0.537,"OTU_056",0.836090909090909
0,0,0,0,1,5,0.447213595499958,0.537,"OTU_057",0.836090909090909
0,0,0,0,1,5,0.447213595499958,0.537,"OTU_059",0.836090909090909
0,0,1,1,0,13,0.490900811322794,0.541,"OTU_009",0.836090909090909
1,0,0,1,1,21,0.515007742573249,0.576,"OTU_080",0.878769230769231
1,0,1,1,1,29,0.5,0.601,"OTU_007",0.905303797468354
1,0,1,1,0,19,0.488860926815605,0.648,"OTU_013",0.9639
1,0,1,0,0,7,0.426401432711221,0.694,"OTU_011",1
0,0,1,0,0,3,0.408248290463863,0.746,"OTU_036",1
0,0,1,0,0,3,0.408248290463863,0.746,"OTU_030",1
0,0,1,0,0,3,0.408248290463863,0.746,"OTU_042",1
0,0,1,0,0,3,0.408248290463863,0.746,"OTU_049",1
0,0,1,0,0,3,0.408248290463863,0.746,"OTU_053",1
0,0,1,0,0,3,0.408248290463863,0.747,"OTU_012",1
1,1,1,1,0,26,0.608670749844312,0.79,"OTU_020",1
1,1,0,0,1,18,0.420084025208403,0.848,"OTU_107",1
0,1,1,1,0,22,0.420084025208403,0.853,"OTU_003",1
0,1,0,0,1,12,0.408248290463863,0.854,"OTU_099",1
1,1,0,0,1,18,0.420084025208403,0.862,"OTU_021",1
1,1,0,0,0,6,0.408248290463863,0.867,"OTU_064",1
0,1,0,0,1,12,0.408248290463863,0.869,"OTU_103",1
0,1,0,0,1,12,0.408248290463863,0.874,"OTU_044",1
0,1,0,0,1,12,0.408248290463863,0.885,"OTU_029",1
1,1,0,0,0,6,0.408248290463863,0.89,"OTU_105",1
1,1,0,0,0,6,0.408248290463863,0.897,"OTU_014",1
1,1,0,0,0,6,0.408248290463863,0.897,"OTU_023",1
0,1,0,0,0,2,0.377964473009227,1,"OTU_061",1
0,1,0,0,0,2,0.377964473009227,1,"OTU_062",1
0,1,0,0,0,2,0.377964473009227,1,"OTU_063",1
0,1,0,0,0,2,0.377964473009227,1,"OTU_065",1
0,1,0,0,0,2,0.377964473009227,1,"OTU_066",1
0,1,1,0,0,10,0.392232270276368,1,"OTU_067",1
0,1,0,0,0,2,0.377964473009227,1,"OTU_068",1
0,1,0,0,0,2,0.377964473009227,1,"OTU_104",1
0,1,0,0,0,2,0.377964473009227,1,"OTU_108",1
0,1,0,0,0,2,0.377964473009227,1,"OTU_109",1
0,1,0,0,0,2,0.377964473009227,1,"OTU_032",1
0,1,0,0,0,2,0.377964473009227,1,"OTU_033",1
0,1,0,0,0,2,0.377964473009227,1,"OTU_034",1
0,1,0,0,0,2,0.377964473009227,1,"OTU_035",1
0,1,1,0,0,10,0.392232270276368,1,"OTU_060",1
0,1,0,0,0,2,0.377964473009227,1,"OTU_017",1
0,1,0,0,0,2,0.377964473009227,1,"OTU_022",1
0,1,0,0,0,2,0.377964473009227,1,"OTU_024",1
0,1,0,0,0,2,0.377964473009227,1,"OTU_025",1
0,1,0,0,0,2,0.377964473009227,1,"OTU_028",1
1,1,1,1,1,31,0.816496580927726,NA,"OTU_008",NA
1,1,1,1,1,31,0.638284738504225,NA,"OTU_038",NA
