"substrate","orientation","richness_S","abundance_N","shannon_H","simpson_1mD","inv_simpson","pielou_J","rarefied_S","rarefied_to"
"Ficus leaves","E",34,51,3.303,0.9489,19.5564,0.9367,8.84,10
"Ficus leaves","N",30,49,3.1367,0.9413,17.0284,0.9222,8.54,10
"Ficus leaves","S",43,53,3.689,0.9726,36.4805,0.9808,9.62,10
"Ficus leaves","W",46,62,3.6754,0.9672,30.5079,0.96,9.34,10
"Ficus wood","E",21,32,2.8071,0.916,11.907,0.922,8.24,10
"Ficus wood","N",9,11,2.0983,0.8595,7.1176,0.955,8.27,10
"Ficus wood","S",9,10,2.164,0.88,8.3333,0.9849,9,10
"Ficus wood","W",24,32,3.0595,0.9453,18.2857,0.9627,9.03,10
"Lauraceae leaves","E",2,2,0.6931,0.5,2,1,NA,10
"Lauraceae leaves","N",63,109,3.8909,0.9725,36.3333,0.9391,9.24,10
"Lauraceae leaves","NW",66,108,3.9516,0.9738,38.1176,0.9432,9.3,10
