"s.Lateral (E/W)","s.Shaded (S)","s.Sun-facing (N)","index","stat","p.value","taxon","q.value"
0,1,0,2,0.707106781186548,0.016,"OTU_079",0.880578947368421
0,1,1,6,0.807825740471824,0.017,"OTU_001",0.880578947368421
0,1,1,6,0.76696498884737,0.027,"OTU_004",0.880578947368421
0,1,1,6,0.778051940752627,0.04,"OTU_005",0.880578947368421
0,1,0,2,0.645497224367903,0.045,"OTU_041",0.880578947368421
0,1,0,2,0.645497224367903,0.05,"OTU_069",0.880578947368421
0,1,1,6,0.705832331160797,0.061,"OTU_002",0.880578947368421
0,1,0,2,0.671233587248617,0.072,"OTU_052",0.880578947368421
0,0,1,3,0.673887371200817,0.077,"OTU_016",0.880578947368421
1,0,0,1,0.547722557505166,0.09,"OTU_048",0.880578947368421
0,1,0,2,0.476176633242867,0.098,"OTU_106",0.880578947368421
1,0,0,1,0.579209695160347,0.108,"OTU_031",0.880578947368421
0,1,0,2,0.5,0.138,"OTU_081",0.880578947368421
1,0,0,1,0.447213595499958,0.139,"OTU_058",0.880578947368421
0,1,0,2,0.5,0.142,"OTU_075",0.880578947368421
0,1,0,2,0.5,0.142,"OTU_077",0.880578947368421
0,1,0,2,0.5,0.142,"OTU_078",0.880578947368421
0,1,0,2,0.5,0.143,"OTU_120",0.880578947368421
0,1,0,2,0.5,0.143,"OTU_121",0.880578947368421
1,0,0,1,0.447213595499958,0.158,"OTU_083",0.891507042253521
0,0,1,3,0.480384461415261,0.215,"OTU_019",0.891507042253521
0,1,0,2,0.518261556863244,0.233,"OTU_013",0.891507042253521
1,0,0,1,0.447213595499958,0.296,"OTU_051",0.891507042253521
0,1,1,6,0.485071250072666,0.303,"OTU_076",0.891507042253521
1,1,0,4,0.515956978919331,0.317,"OTU_080",0.891507042253521
0,1,1,6,0.485071250072666,0.318,"OTU_009",0.891507042253521
0,1,1,6,0.420084025208403,0.355,"OTU_003",0.891507042253521
0,1,0,2,0.422577127364258,0.379,"OTU_072",0.891507042253521
0,1,0,2,0.422577127364258,0.386,"OTU_082",0.891507042253521
0,1,0,2,0.422577127364258,0.395,"OTU_095",0.891507042253521
0,1,0,2,0.422577127364258,0.403,"OTU_115",0.891507042253521
1,1,0,4,0.427788649053014,0.451,"OTU_037",0.891507042253521
1,0,0,1,0.316227766016838,0.503,"OTU_122",0.891507042253521
1,0,0,1,0.316227766016838,0.503,"OTU_123",0.891507042253521
1,0,0,1,0.316227766016838,0.503,"OTU_124",0.891507042253521
1,0,0,1,0.316227766016838,0.503,"OTU_125",0.891507042253521
1,0,0,1,0.316227766016838,0.503,"OTU_126",0.891507042253521
1,0,0,1,0.316227766016838,0.503,"OTU_127",0.891507042253521
1,0,0,1,0.316227766016838,0.508,"OTU_094",0.891507042253521
1,0,0,1,0.316227766016838,0.508,"OTU_096",0.891507042253521
1,0,0,1,0.316227766016838,0.508,"OTU_097",0.891507042253521
