"s.Ficus leaves","s.Ficus wood","s.Lauraceae leaves","index","stat","p.value","taxon","q.value"
1,0,1,5,0.866025403784439,0.001,"OTU_001",0.017625
0,0,1,3,0.80903983495589,0.001,"OTU_005",0.017625
1,0,1,5,0.94211793682986,0.001,"OTU_008",0.017625
0,0,1,3,0.759256602365297,0.001,"OTU_016",0.017625
1,0,0,1,0.894427190999916,0.001,"OTU_045",0.017625
1,0,0,1,0.792824967172092,0.001,"OTU_020",0.017625
1,0,0,1,0.84873218411129,0.001,"OTU_052",0.017625
0,0,1,3,0.797325869964202,0.001,"OTU_002",0.017625
0,0,1,3,0.787517292659997,0.003,"OTU_004",0.0384545454545455
0,1,0,2,0.733799385705343,0.003,"OTU_103",0.0384545454545455
0,1,0,2,0.733799385705343,0.003,"OTU_106",0.0384545454545455
1,0,1,5,0.765723562411325,0.004,"OTU_038",0.0402857142857143
1,0,0,1,0.707106781186548,0.004,"OTU_043",0.0402857142857143
0,1,0,2,0.620173672946042,0.004,"OTU_107",0.0402857142857143
1,0,0,1,0.547722557505166,0.029,"OTU_069",0.2726
0,1,0,2,0.575197308543051,0.032,"OTU_082",0.282
1,0,0,1,0.547722557505166,0.036,"OTU_041",0.289421052631579
1,0,0,1,0.547722557505166,0.038,"OTU_068",0.289421052631579
0,0,1,3,0.547722557505166,0.039,"OTU_019",0.289421052631579
1,0,0,1,0.591607978309962,0.049,"OTU_027",0.34545
1,0,0,1,0.547722557505166,0.056,"OTU_048",0.376
0,1,0,2,0.480384461415261,0.089,"OTU_105",0.570409090909091
1,0,1,5,0.5,0.116,"OTU_013",0.687375
0,1,0,2,0.55249462010983,0.117,"OTU_080",0.687375
0,0,1,3,0.5,0.13,"OTU_010",0.7332
0,0,1,3,0.447213595499958,0.149,"OTU_015",0.737228571428571
1,0,0,1,0.447213595499958,0.156,"OTU_072",0.737228571428571
1,0,0,1,0.447213595499958,0.168,"OTU_079",0.737228571428571
1,0,0,1,0.447213595499958,0.169,"OTU_039",0.737228571428571
1,0,0,1,0.447213595499958,0.17,"OTU_059",0.737228571428571
0,0,1,3,0.447213595499958,0.171,"OTU_060",0.737228571428571
1,0,0,1,0.447213595499958,0.177,"OTU_064",0.737228571428571
1,0,0,1,0.447213595499958,0.178,"OTU_044",0.737228571428571
0,0,1,3,0.474341649025257,0.182,"OTU_076",0.737228571428571
0,0,1,3,0.447213595499958,0.183,"OTU_018",0.737228571428571
