"s.Ficus leaves","s.Ficus wood","s.Lauraceae leaves","index","stat","p.value","taxon"
1,0,0,1,0.836660026534076,0.001,"Pseudocercospora aff. quetri"
1,0,0,1,0.774596669241483,0.001,"Colletotrichum cf. brassicicola gen 2"
1,0,0,1,0.707106781186548,0.001,"Colletotrichum cf. godetiae"
0,0,1,3,0.859460081985418,0.001,"Diaporthe sp. 20"
0,0,1,3,0.881917103688197,0.001,"Nigrospora cf. gorlenkoana"
0,0,1,3,0.816496580927726,0.001,"Neopestalotiopsis cf. sichuanensis; N. cf. phyllostachydis, N. cf. fidjiensis (15 spp.) gen 2"
1,0,0,1,0.707106781186548,0.002,"Xylaria sp. 3"
0,1,0,2,0.733799385705343,0.002,"Penicillium goetzii, P. rubens"
0,0,1,3,0.666666666666667,0.004,"Diaporthe sp. 23"
0,0,1,3,0.701615575878308,0.005,"Nigrospora hainanensis"
1,0,0,1,0.722257607059568,0.006,"Colletotrichum arboricola"
1,0,1,5,0.688247201611685,0.011,"Diaporthe sp. 29"
0,0,1,3,0.621669872160209,0.014,"Diaporthe crousii gen 2"
0,1,0,2,0.620173672946042,0.018,"Ophiocordycipitaceae sp. 1"
0,0,1,3,0.577350269189626,0.019,"Nigrospora cf. vesicularifera"
1,0,1,5,0.64888568452305,0.022,"Diaporthe sp. 16"
1,0,0,1,0.547722557505166,0.027,"Xylaria sp. 1"
0,1,0,2,0.554700196225229,0.027,"Pestalotiopsis cf. telopae, P. kenyana, P. australasiae (4 spp.) gen 2"
0,1,0,2,0.554700196225229,0.028,"Aspergillus versicolor"
0,1,0,2,0.554700196225229,0.031,"Aspergillus cvjetkovicii or A. jensenii (3 spp.)"
1,0,0,1,0.547722557505166,0.039,"Neofabraea aff. brasiliensis"
1,0,0,1,0.547722557505166,0.047,"Pseudocercospora sp. 1"
1,0,1,5,0.664221822143441,0.05,"Diaporthe crousii gen 1"
