"s.Ficus leaves","s.Lauraceae leaves","index","stat","p.value","taxon","q.value"
1,0,1,0.894427190999916,0.001,"OTU_045",0.078
1,0,1,0.867721831274625,0.002,"OTU_052",0.078
0,1,2,0.813733471206735,0.011,"OTU_002",0.286
0,1,2,0.806225774829855,0.028,"OTU_004",0.445714285714286
1,0,1,0.707106781186548,0.03,"OTU_043",0.445714285714286
0,1,2,0.759256602365297,0.04,"OTU_016",0.445714285714286
1,0,1,0.792824967172092,0.04,"OTU_020",0.445714285714286
0,1,2,0.80903983495589,0.049,"OTU_005",0.47775
1,0,1,0.547722557505166,0.193,"OTU_048",1
1,0,1,0.547722557505166,0.195,"OTU_068",1
0,1,2,0.547722557505166,0.199,"OTU_019",1
1,0,1,0.547722557505166,0.203,"OTU_041",1
1,0,1,0.547722557505166,0.233,"OTU_069",1
0,1,2,0.5,0.453,"OTU_010",1
0,1,2,0.447213595499958,0.462,"OTU_060",1
1,0,1,0.447213595499958,0.466,"OTU_080",1
1,0,1,0.447213595499958,0.468,"OTU_039",1
1,0,1,0.447213595499958,0.472,"OTU_051",1
1,0,1,0.447213595499958,0.473,"OTU_083",1
0,1,2,0.447213595499958,0.478,"OTU_015",1
1,0,1,0.447213595499958,0.479,"OTU_044",1
1,0,1,0.447213595499958,0.482,"OTU_079",1
1,0,1,0.447213595499958,0.486,"OTU_064",1
1,0,1,0.447213595499958,0.487,"OTU_059",1
1,0,1,0.447213595499958,0.496,"OTU_072",1
0,1,2,0.447213595499958,0.507,"OTU_018",1
0,1,2,0.474341649025257,0.57,"OTU_076",1
1,0,1,0.474341649025257,0.589,"OTU_037",1
1,0,1,0.591607978309962,1,"OTU_027",1
1,0,1,0.316227766016838,1,"OTU_040",1
1,0,1,0.316227766016838,1,"OTU_046",1
1,0,1,0.316227766016838,1,"OTU_047",1
1,0,1,0.316227766016838,1,"OTU_091",1
1,0,1,0.316227766016838,1,"OTU_092",1
1,0,1,0.316227766016838,1,"OTU_093",1
1,0,1,0.387298334620742,1,"OTU_031",1
1,0,1,0.316227766016838,1,"OTU_050",1
1,0,1,0.316227766016838,1,"OTU_054",1
1,0,1,0.316227766016838,1,"OTU_055",1
1,0,1,0.316227766016838,1,"OTU_056",1
1,0,1,0.316227766016838,1,"OTU_057",1
1,0,1,0.316227766016838,1,"OTU_058",1
1,0,1,0.316227766016838,1,"OTU_061",1
1,0,1,0.316227766016838,1,"OTU_062",1
1,0,1,0.316227766016838,1,"OTU_063",1
1,0,1,0.316227766016838,1,"OTU_065",1
1,0,1,0.316227766016838,1,"OTU_066",1
1,0,1,0.316227766016838,1,"OTU_070",1
1,0,1,0.316227766016838,1,"OTU_071",1
1,0,1,0.316227766016838,1,"OTU_073",1
1,0,1,0.316227766016838,1,"OTU_074",1
1,0,1,0.316227766016838,1,"OTU_075",1
1,0,1,0.316227766016838,1,"OTU_077",1
1,0,1,0.316227766016838,1,"OTU_078",1
1,0,1,0.316227766016838,1,"OTU_081",1
1,0,1,0.316227766016838,1,"OTU_082",1
1,0,1,0.316227766016838,1,"OTU_084",1
1,0,1,0.316227766016838,1,"OTU_085",1
1,0,1,0.316227766016838,1,"OTU_086",1
1,0,1,0.316227766016838,1,"OTU_087",1
1,0,1,0.316227766016838,1,"OTU_088",1
1,0,1,0.316227766016838,1,"OTU_089",1
1,0,1,0.316227766016838,1,"OTU_090",1
0,1,2,0.316227766016838,1,"OTU_034",1
0,1,2,0.316227766016838,1,"OTU_021",1
0,1,2,0.316227766016838,1,"OTU_032",1
0,1,2,0.316227766016838,1,"OTU_033",1
0,1,2,0.316227766016838,1,"OTU_035",1
0,1,2,0.316227766016838,1,"OTU_036",1
0,1,2,0.316227766016838,1,"OTU_042",1
0,1,2,0.316227766016838,1,"OTU_049",1
0,1,2,0.316227766016838,1,"OTU_053",1
0,1,2,0.316227766016838,1,"OTU_012",1
0,1,2,0.316227766016838,1,"OTU_017",1
0,1,2,0.316227766016838,1,"OTU_022",1
0,1,2,0.316227766016838,1,"OTU_024",1
0,1,2,0.316227766016838,1,"OTU_025",1
0,1,2,0.316227766016838,1,"OTU_028",1
1,1,3,0.866025403784439,NA,"OTU_001",NA
1,1,3,0.387298334620742,NA,"OTU_006",NA
1,1,3,0.5,NA,"OTU_007",NA
1,1,3,0.948683298050514,NA,"OTU_008",NA
1,1,3,0.316227766016838,NA,"OTU_029",NA
1,1,3,0.774596669241483,NA,"OTU_038",NA
1,1,3,0.447213595499958,NA,"OTU_003",NA
1,1,3,0.316227766016838,NA,"OTU_030",NA
1,1,3,0.447213595499958,NA,"OTU_009",NA
1,1,3,0.316227766016838,NA,"OTU_067",NA
1,1,3,0.5,NA,"OTU_013",NA
1,1,3,0.316227766016838,NA,"OTU_014",NA
1,1,3,0.316227766016838,NA,"OTU_023",NA
1,1,3,0.387298334620742,NA,"OTU_026",NA
1,1,3,0.316227766016838,NA,"OTU_011",NA
