"s.Ficus leaves","s.Lauraceae leaves","index","stat","p.value","taxon"
0,1,2,0.836660026534076,0.002,"Nigrospora cf. gorlenkoana"
1,0,1,0.836660026534076,0.005,"Pseudocercospora aff. quetri"
0,1,2,0.774596669241483,0.01,"Neopestalotiopsis cf. sichuanensis; N. cf. phyllostachydis, N. cf. fidjiensis (15 spp.) gen 2"
1,0,1,0.774596669241483,0.011,"Colletotrichum cf. brassicicola gen 2"
0,1,2,0.813087394510031,0.013,"Diaporthe sp. 20"
1,0,1,0.707106781186548,0.031,"Xylaria sp. 3"
1,0,1,0.707106781186548,0.032,"Colletotrichum cf. godetiae"
NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,"NA.1"
NA,NA,NA,NA,NA,"NA.2"
NA,NA,NA,NA,NA,"NA.3"
NA,NA,NA,NA,NA,"NA.4"
NA,NA,NA,NA,NA,"NA.5"
NA,NA,NA,NA,NA,"NA.6"
NA,NA,NA,NA,NA,"NA.7"
NA,NA,NA,NA,NA,"NA.8"
NA,NA,NA,NA,NA,"NA.9"
NA,NA,NA,NA,NA,"NA.10"
NA,NA,NA,NA,NA,"NA.11"
NA,NA,NA,NA,NA,"NA.12"
NA,NA,NA,NA,NA,"NA.13"
NA,NA,NA,NA,NA,"NA.14"
NA,NA,NA,NA,NA,"NA.15"
NA,NA,NA,NA,NA,"NA.16"
NA,NA,NA,NA,NA,"NA.17"
NA,NA,NA,NA,NA,"NA.18"
NA,NA,NA,NA,NA,"NA.19"
NA,NA,NA,NA,NA,"NA.20"
