"s.Ficus leaves - E","s.Ficus leaves - N","s.Ficus leaves - S","s.Ficus leaves - W","s.Ficus wood - E","s.Ficus wood - N","s.Ficus wood - S","s.Ficus wood - W","s.Lauraceae leaves - E","s.Lauraceae leaves - N","s.Lauraceae leaves - NW","index","stat","p.value","taxon","q.value"
0,1,1,0,0,0,0,0,1,1,0,377,0.939336436627724,0.013,"OTU_005",0.7502
0,0,1,0,0,0,0,0,0,0,0,3,1,0.015,"OTU_079",0.7502
1,1,1,1,0,0,0,0,0,1,1,1044,0.931608682249208,0.021,"OTU_008",0.7502
1,1,1,1,0,0,0,0,0,0,0,232,0.881917103688197,0.025,"OTU_045",0.7502
1,0,0,0,0,0,0,0,0,0,0,1,0.904534033733291,0.031,"OTU_048",0.7502
0,0,0,0,1,1,0,1,0,0,0,198,0.852802865422442,0.056,"OTU_080",0.760571428571428
0,0,1,0,0,0,0,0,0,0,0,3,0.866025403784439,0.063,"OTU_041",0.760571428571428
0,1,1,0,0,0,0,0,0,1,1,379,0.882446306918351,0.068,"OTU_001",0.760571428571428
1,0,1,0,0,0,0,0,0,0,0,13,0.866025403784439,0.073,"OTU_069",0.760571428571428
0,1,0,0,0,0,0,0,0,0,0,2,0.866025403784439,0.076,"OTU_043",0.760571428571428
0,0,0,0,0,1,0,0,0,0,0,6,1,0.084,"OTU_104",0.760571428571428
0,0,0,0,0,1,0,0,0,0,0,6,1,0.084,"OTU_108",0.760571428571428
0,0,0,0,0,1,0,0,0,0,0,6,1,0.084,"OTU_109",0.760571428571428
0,1,0,0,0,0,1,0,0,1,1,431,0.845154254728517,0.088,"OTU_004",0.760571428571428
0,0,1,0,0,0,0,1,0,1,1,490,0.845154254728517,0.108,"OTU_002",0.825556962025316
1,1,1,0,0,0,0,0,0,0,0,67,0.823386969592618,0.146,"OTU_020",0.825556962025316
0,0,0,1,0,0,0,0,0,0,0,4,0.816496580927726,0.148,"OTU_051",0.825556962025316
0,0,0,0,0,1,1,0,0,0,0,52,0.816496580927726,0.161,"OTU_106",0.825556962025316
0,0,0,0,0,1,0,0,0,0,0,6,0.816496580927726,0.181,"OTU_103",0.825556962025316
0,0,0,0,0,1,0,1,0,0,0,53,0.816496580927726,0.182,"OTU_099",0.825556962025316
0,0,0,0,0,1,0,0,0,0,0,6,0.816496580927726,0.188,"OTU_105",0.825556962025316
0,1,1,0,1,0,0,0,1,0,0,362,0.755928946018454,0.189,"OTU_037",0.825556962025316
1,0,1,0,0,0,0,0,0,0,0,13,0.762000762001143,0.192,"OTU_013",0.825556962025316
0,0,0,0,1,1,0,1,0,0,0,198,0.774596669241483,0.24,"OTU_107",0.825556962025316
1,1,1,1,0,0,1,0,0,0,0,564,0.781606736734715,0.249,"OTU_052",0.825556962025316
0,0,0,0,1,0,0,1,0,0,0,48,0.734846922834953,0.265,"OTU_031",0.825556962025316
0,0,0,1,0,0,0,0,0,1,1,196,0.784464540552736,0.285,"OTU_016",0.825556962025316
1,1,0,0,0,0,0,0,0,0,0,12,0.707106781186548,0.321,"OTU_064",0.825556962025316
