"pair","F_stat","R2","p_value","p_adj"
"Ficus leaves - W vs Ficus leaves - N",1.2548,0.2949,0.3,1
"Ficus leaves - W vs Ficus leaves - E",0.7896,0.2084,0.9,1
"Ficus leaves - W vs Ficus leaves - S",1.0559,0.2603,0.5,1
"Ficus leaves - W vs Ficus wood - W",1.4822,0.3307,0.1,1
"Ficus leaves - W vs Ficus wood - N",1.7897,0.4722,0.25,1
"Ficus leaves - W vs Ficus wood - E",1.8452,0.3808,0.1,1
"Ficus leaves - W vs Ficus wood - S",1.3053,0.3032,0.3,1
"Ficus leaves - W vs Lauraceae leaves - NW",1.5859,0.1847,0.076,1
"Ficus leaves - W vs Lauraceae leaves - N",2.5662,0.3392,0.025,1
"Ficus leaves - W vs Lauraceae leaves - E",1.6944,0.4586,0.25,1
"Ficus leaves - N vs Ficus leaves - E",1.6196,0.4474,0.333333333333333,1
"Ficus leaves - N vs Ficus leaves - S",2.1142,0.5139,0.333333333333333,1
"Ficus leaves - N vs Ficus wood - W",2.2016,0.524,0.333333333333333,1
"Ficus leaves - N vs Ficus wood - N",5.7183,0.8512,0.333333333333333,1
"Ficus leaves - N vs Ficus wood - E",2.9581,0.5966,0.333333333333333,1
"Ficus leaves - N vs Ficus wood - S",1.7495,0.4666,0.333333333333333,1
"Ficus leaves - N vs Lauraceae leaves - NW",1.6016,0.2107,0.09,1
"Ficus leaves - N vs Lauraceae leaves - N",3.8666,0.4915,0.0666666666666667,1
"Ficus leaves - N vs Lauraceae leaves - E",4.4273,0.8157,0.333333333333333,1
"Ficus leaves - E vs Ficus leaves - S",1.4226,0.4156,0.333333333333333,1
"Ficus leaves - E vs Ficus wood - W",1.5195,0.4317,0.333333333333333,1
"Ficus leaves - E vs Ficus wood - N",2.4977,0.7141,0.333333333333333,1
"Ficus leaves - E vs Ficus wood - E",2.2347,0.5277,0.333333333333333,1
"Ficus leaves - E vs Ficus wood - S",1.4444,0.4194,0.333333333333333,1
"Ficus leaves - E vs Lauraceae leaves - NW",1.7824,0.229,0.09,1
"Ficus leaves - E vs Lauraceae leaves - N",3.8092,0.4878,0.0666666666666667,1
"Ficus leaves - E vs Lauraceae leaves - E",2.4977,0.7141,0.333333333333333,1
"Ficus leaves - S vs Ficus wood - W",1.7701,0.4695,0.333333333333333,1
"Ficus leaves - S vs Ficus wood - N",4.5341,0.8193,0.333333333333333,1
"Ficus leaves - S vs Ficus wood - E",2.5475,0.5602,0.333333333333333,1
"Ficus leaves - S vs Ficus wood - S",1.7849,0.4716,0.333333333333333,1
"Ficus leaves - S vs Lauraceae leaves - NW",1.5378,0.204,0.09,1
"Ficus leaves - S vs Lauraceae leaves - N",2.8277,0.4142,0.0666666666666667,1
"Ficus leaves - S vs Lauraceae leaves - E",3.7907,0.7913,0.333333333333333,1
"Ficus wood - W vs Ficus wood - N",0.476,0.3225,1,1
"Ficus wood - W vs Ficus wood - E",0.6972,0.2585,1,1
"Ficus wood - W vs Ficus wood - S",0.9168,0.3143,1,1
"Ficus wood - W vs Lauraceae leaves - NW",1.6432,0.215,0.108,1
"Ficus wood - W vs Lauraceae leaves - N",3.0991,0.4365,0.0666666666666667,1
"Ficus wood - W vs Lauraceae leaves - E",1,0.5,1,1
"Ficus wood - N vs Ficus wood - E",0.8444,0.4578,0.666666666666667,1
"Ficus wood - N vs Ficus wood - S",0.8341,0.4548,1,1
"Ficus wood - N vs Lauraceae leaves - NW",1.805,0.2652,0.143,1
"Ficus wood - N vs Lauraceae leaves - N",5.0735,0.6284,0.2,1
"Ficus wood - E vs Ficus wood - S",1.1672,0.3685,0.333333333333333,1
"Ficus wood - E vs Lauraceae leaves - NW",2.2035,0.2686,0.048,1
"Ficus wood - E vs Lauraceae leaves - N",4.4278,0.5254,0.0666666666666667,1
"Ficus wood - E vs Lauraceae leaves - E",1.2254,0.5506,0.333333333333333,1
"Ficus wood - S vs Lauraceae leaves - NW",1.4243,0.1918,0.146,1
"Ficus wood - S vs Lauraceae leaves - N",3.053,0.4329,0.0666666666666667,1
"Ficus wood - S vs Lauraceae leaves - E",1,0.5,1,1
"Lauraceae leaves - NW vs Lauraceae leaves - N",1.1667,0.1273,0.245,1
"Lauraceae leaves - NW vs Lauraceae leaves - E",1.6342,0.2463,0.158,1
"Lauraceae leaves - N vs Lauraceae leaves - E",4.3212,0.5902,0.2,1
