"s.Ficus leaves - Branch","s.Ficus wood - Branch","s.Ficus wood - Trunk","s.Lauraceae leaves - Branch","index","stat","p.value","taxon","q.value"
1,0,0,1,7,0.866025403784439,0.001,"OTU_001",0.0284
1,0,0,1,7,0.936597667023262,0.001,"OTU_008",0.0284
1,0,0,0,1,0.894427190999916,0.001,"OTU_045",0.0284
1,0,0,0,1,0.833410849107961,0.001,"OTU_052",0.0284
0,0,1,0,3,0.888631088282754,0.001,"OTU_103",0.0284
0,0,0,1,4,0.759256602365297,0.002,"OTU_016",0.0355
1,0,0,0,1,0.792824967172092,0.002,"OTU_020",0.0355
0,0,1,0,3,0.805076485899413,0.002,"OTU_106",0.0355
0,0,0,1,4,0.80903983495589,0.003,"OTU_005",0.0387272727272727
0,0,0,1,4,0.77247738573722,0.003,"OTU_004",0.0387272727272727
0,0,0,1,4,0.784025089204288,0.003,"OTU_002",0.0387272727272727
