"s.Ficus leaves","s.Ficus wood","s.Lauraceae leaves","index","stat","p.value","taxon","q.value"
1,0,1,5,0.874474632195206,0.001,"OTU_001",0.0595
1,0,1,5,0.958688232017182,0.001,"OTU_008",0.0595
0,0,1,3,0.808892776909605,0.002,"OTU_004",0.0793333333333333
1,0,0,1,0.894427190999916,0.003,"OTU_045",0.08925
0,0,1,3,0.790981491908775,0.005,"OTU_002",0.119
1,0,0,1,0.8238858408711,0.007,"OTU_052",0.138833333333333
1,0,1,5,0.840168050416806,0.01,"OTU_020",0.1547
1,0,0,1,0.707106781186548,0.012,"OTU_043",0.1547
0,1,0,2,0.703210846407743,0.012,"OTU_080",0.1547
0,0,1,3,0.823969074274441,0.013,"OTU_005",0.1547
1,0,1,5,0.824694017967749,0.018,"OTU_038",0.194727272727273
0,1,0,2,0.654653670707977,0.032,"OTU_107",0.317333333333333
0,0,1,3,0.654653670707977,0.037,"OTU_019",0.338692307692308
0,0,1,3,0.613139339484966,0.058,"OTU_010",0.493
0,0,1,3,0.61213336778284,0.088,"OTU_016",0.614833333333333
0,0,1,3,0.589483118918894,0.089,"OTU_076",0.614833333333333
1,0,0,1,0.547722557505166,0.09,"OTU_068",0.614833333333333
1,0,0,1,0.547722557505166,0.093,"OTU_048",0.614833333333333
1,0,0,1,0.547722557505166,0.104,"OTU_069",0.629
1,0,0,1,0.595879571531124,0.106,"OTU_027",0.629
1,0,0,1,0.547722557505166,0.111,"OTU_041",0.629
0,0,1,3,0.534522483824849,0.134,"OTU_060",0.718103448275862
0,1,0,2,0.534522483824849,0.14,"OTU_105",0.718103448275862
0,1,0,2,0.534522483824849,0.15,"OTU_115",0.718103448275862
0,1,0,2,0.534522483824849,0.157,"OTU_106",0.718103448275862
0,0,1,3,0.534522483824849,0.164,"OTU_018",0.718103448275862
0,1,0,2,0.534522483824849,0.165,"OTU_103",0.718103448275862
0,1,0,2,0.534522483824849,0.17,"OTU_099",0.718103448275862
0,1,0,2,0.534522483824849,0.175,"OTU_095",0.718103448275862
0,1,1,6,0.462910049886276,0.244,"OTU_021",0.929405063291139
1,0,0,1,0.447213595499958,0.33,"OTU_039",0.929405063291139
1,0,0,1,0.447213595499958,0.33,"OTU_079",0.929405063291139
1,0,0,1,0.447213595499958,0.333,"OTU_072",0.929405063291139
1,0,0,1,0.447213595499958,0.335,"OTU_059",0.929405063291139
1,0,0,1,0.447213595499958,0.339,"OTU_051",0.929405063291139
1,0,0,1,0.447213595499958,0.347,"OTU_044",0.929405063291139
1,0,0,1,0.447213595499958,0.35,"OTU_064",0.929405063291139
