"s.Ficus leaves","s.Ficus wood","s.Lauraceae leaves","index","stat","p.value","taxon"
1,0,0,1,0.774596669241483,0.001,"Colletotrichum cf. brassicicola gen 2"
0,0,1,3,0.914152152162522,0.001,"Diaporthe sp. 20"
0,0,1,3,0.935414346693485,0.001,"Nigrospora cf. gorlenkoana"
1,0,0,1,0.836660026534076,0.002,"Pseudocercospora aff. quetri"
0,0,1,3,0.866025403784439,0.002,"Neopestalotiopsis cf. sichuanensis; N. cf. phyllostachydis, N. cf. fidjiensis (15 spp.) gen 2"
1,0,0,1,0.707106781186548,0.003,"Colletotrichum cf. godetiae"
1,0,0,1,0.707106781186548,0.005,"Xylaria sp. 3"
0,0,1,3,0.748930861894098,0.006,"Nigrospora hainanensis"
0,1,0,2,0.707106781186548,0.007,"Pestalotiopsis cf. telopae, P. kenyana, P. australasiae (4 spp.) gen 2"
0,0,1,3,0.707106781186548,0.009,"Diaporthe sp. 23"
1,0,0,1,0.711024300256718,0.018,"Colletotrichum arboricola"
0,0,1,3,0.664211164155071,0.024,"Diaporthe crousii gen 2"
1,0,1,5,0.707106781186548,0.046,"Diaporthe sp. 29"
0,0,1,3,0.612372435695794,0.048,"Nigrospora cf. vesicularifera"
NA,NA,NA,NA,NA,NA,"NA"
